ID,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2018-Es-06697,False,True,False,False,False,False,False,False,False,False,False
2018-Es-05385,False,False,False,False,False,False,False,True,False,False,False
2018-Es-03777,False,False,False,False,False,False,False,False,False,False,False
2018-Es-02175,False,False,False,False,True,False,False,False,False,False,False
2018-Es-00726,True,False,False,False,False,False,False,False,True,False,False
2018-Es-01137,False,False,False,False,False,False,False,True,True,False,False
2018-Es-04129,False,False,False,False,False,False,False,False,False,False,False
2018-Es-04463,False,False,False,False,False,False,False,False,True,False,False
2018-Es-04699,False,False,False,False,False,False,False,False,False,False,False
2018-Es-01259,False,False,False,False,True,False,False,False,False,False,False
2018-Es-04284,False,False,True,False,False,False,False,False,False,False,False
2018-Es-05718,False,False,False,False,True,False,False,False,False,False,False
2018-Es-01454,True,False,False,False,False,False,False,False,False,False,False
2018-Es-02040,False,False,False,False,True,False,False,False,False,False,False
2018-Es-02237,False,False,False,False,True,False,False,False,False,False,False
2018-Es-06767,False,False,False,False,False,False,False,True,False,False,False
2018-Es-06469,False,False,False,False,True,False,False,False,False,False,False
2018-Es-00590,False,False,False,False,True,False,False,False,False,False,False
2018-Es-01679,False,False,False,True,False,False,False,False,False,False,False
2018-Es-05485,True,False,False,False,False,False,False,False,False,False,False
2018-Es-06617,True,False,False,False,False,False,False,False,False,False,False
2018-Es-01576,True,False,False,False,False,False,False,False,False,False,False
2018-Es-03432,False,False,False,False,False,False,False,True,True,False,False
2018-Es-06139,False,False,False,False,False,False,False,False,False,True,False
2018-Es-05268,False,False,False,False,False,False,False,False,False,False,False
2018-Es-02391,True,False,False,False,True,False,False,False,False,False,False
2018-Es-01460,False,False,False,False,False,False,False,False,False,False,False
2018-Es-04519,False,False,False,False,False,False,False,False,False,False,False
2018-Es-06812,False,True,False,False,False,False,False,False,False,False,False
2018-Es-02128,False,False,False,False,False,False,False,True,False,False,False
2018-Es-05671,False,False,False,False,False,False,False,False,True,True,False
2018-Es-00468,False,False,False,False,False,False,False,False,False,False,False
2018-Es-03607,False,False,False,False,False,False,False,False,False,False,False
2018-Es-02174,True,False,False,False,False,False,False,False,False,False,False
2018-Es-05945,False,False,False,False,False,False,False,False,True,False,False
2018-Es-04075,False,False,False,False,False,False,False,False,False,False,False
2018-Es-00684,False,False,False,False,True,False,True,False,False,False,False
2018-Es-01451,True,False,False,False,False,False,False,False,True,False,False
